"","l_ipn","date","sumtraffic"
"1",0,2006-07-01,106
"2",0,2006-07-02,920
"3",0,2006-07-03,249
"4",0,2006-07-04,2971
"5",0,2006-07-05,158
"6",0,2006-07-06,184
"7",0,2006-07-07,197
"8",0,2006-07-08,361
"9",0,2006-07-09,68
"10",0,2006-07-10,258
"11",0,2006-07-11,118
"12",0,2006-07-12,236
"13",0,2006-07-13,145
"14",0,2006-07-14,132
"15",0,2006-07-15,333
"16",0,2006-07-16,784
"17",0,2006-07-17,1462
"18",0,2006-07-18,4191
"19",0,2006-07-19,166
"20",0,2006-07-20,1501
"21",0,2006-07-21,1243
"22",0,2006-07-22,492
"23",0,2006-07-23,3797
"24",0,2006-07-24,863
"25",0,2006-07-25,158
"26",0,2006-07-26,252
"27",0,2006-07-27,278
"28",0,2006-07-28,1506
"29",0,2006-07-29,133
"30",0,2006-07-30,74
"31",0,2006-07-31,146
"32",0,2006-08-01,426
"33",0,2006-08-02,1163
"34",0,2006-08-03,177
"35",0,2006-08-04,458
"36",0,2006-08-05,796
"37",0,2006-08-06,226
"38",0,2006-08-07,167
"39",0,2006-08-08,1561
"40",0,2006-08-09,611
"41",0,2006-08-10,361
"42",0,2006-08-11,132
"43",0,2006-08-12,267
"44",0,2006-08-13,109
"45",0,2006-08-14,110
"46",0,2006-08-15,415
"47",0,2006-08-16,528
"48",0,2006-08-17,7488
"49",0,2006-08-18,424
"50",0,2006-08-19,295
"51",0,2006-08-20,865
"52",0,2006-08-21,4085
"53",0,2006-08-22,2677
"54",0,2006-08-23,833
"55",0,2006-08-24,143
"56",0,2006-08-25,4624
"57",0,2006-08-26,4218
"58",0,2006-08-27,182
"59",0,2006-08-28,1252
"60",0,2006-08-29,363
"61",0,2006-08-30,159
"62",0,2006-08-31,1853
"63",0,2006-09-01,1106
"64",0,2006-09-02,124
"65",0,2006-09-03,589
"66",0,2006-09-04,148
"67",0,2006-09-05,2039
"68",0,2006-09-06,162
"69",0,2006-09-07,153
"70",0,2006-09-08,148
"71",0,2006-09-09,136
"72",0,2006-09-10,101
"73",0,2006-09-11,234
"74",0,2006-09-12,1372
"75",0,2006-09-13,1599
"76",0,2006-09-14,125
"77",0,2006-09-15,377
"78",0,2006-09-16,5706
"79",0,2006-09-17,604
"80",0,2006-09-18,692
"81",0,2006-09-19,1277
"82",0,2006-09-20,4638
"83",0,2006-09-21,1505
"84",0,2006-09-22,129
"85",0,2006-09-23,1858
"86",0,2006-09-24,2131
"87",0,2006-09-25,1591
"88",0,2006-09-26,3679
"89",0,2006-09-27,152
"90",0,2006-09-28,3270
"91",0,2006-09-29,5818
"92",0,2006-09-30,3264
"93",1,2006-07-01,640
"94",1,2006-07-02,2661
"95",1,2006-07-03,3063
"96",1,2006-07-04,1916
"97",1,2006-07-05,6760
"98",1,2006-07-06,1535
"99",1,2006-07-07,1702
"100",1,2006-07-08,2392
"101",1,2006-07-09,1537
"102",1,2006-07-10,1718
"103",1,2006-07-11,1620
"104",1,2006-07-12,1635
"105",1,2006-07-13,1595
"106",1,2006-07-14,1489
"107",1,2006-07-15,1845
"108",1,2006-07-16,1835
"109",1,2006-07-17,2824
"110",1,2006-07-18,2312
"111",1,2006-07-19,2366
"112",1,2006-07-20,2807
"113",1,2006-07-21,3079
"114",1,2006-07-22,1613
"115",1,2006-07-23,8813
"116",1,2006-07-24,1487
"117",1,2006-07-25,846
"118",1,2006-07-26,2076
"119",1,2006-07-27,1638
"120",1,2006-07-28,2518
"121",1,2006-07-29,1447
"122",1,2006-07-30,2108
"123",1,2006-07-31,2281
"124",1,2006-08-01,3097
"125",1,2006-08-02,2385
"126",1,2006-08-03,1701
"127",1,2006-08-04,2051
"128",1,2006-08-05,1601
"129",1,2006-08-06,3881
"130",1,2006-08-07,1720
"131",1,2006-08-08,6040
"132",1,2006-08-09,3365
"133",1,2006-08-10,3288
"134",1,2006-08-11,4746
"135",1,2006-08-12,5069
"136",1,2006-08-13,4795
"137",1,2006-08-14,4910
"138",1,2006-08-15,6275
"139",1,2006-08-16,6754
"140",1,2006-08-17,9190
"141",1,2006-08-18,4921
"142",1,2006-08-19,5393
"143",1,2006-08-20,8134
"144",1,2006-08-21,9596
"145",1,2006-08-22,8554
"146",1,2006-08-23,10574
"147",1,2006-08-24,5482
"148",1,2006-08-28,11
"149",2,2006-07-01,1677
"150",2,2006-07-02,2036
"151",2,2006-07-03,1296
"152",2,2006-07-04,1584
"153",2,2006-07-05,4725
"154",2,2006-07-06,1606
"155",2,2006-07-07,2077
"156",2,2006-07-08,1359
"157",2,2006-07-09,2170
"158",2,2006-07-10,1408
"159",2,2006-07-11,1329
"160",2,2006-07-12,1602
"161",2,2006-07-13,1263
"162",2,2006-07-14,1539
"163",2,2006-07-15,822
"164",2,2006-07-16,622
"165",2,2006-07-17,2705
"166",2,2006-07-18,2002
"167",2,2006-07-19,1938
"168",2,2006-07-20,2446
"169",2,2006-07-21,3144
"170",2,2006-07-22,1071
