countyname,median_sqft_price
San Francisco County,4.666666666666667
San Mateo County,3.7575528700906347
Marin County,3.3090185676392574
Santa Clara County,3.2785714285714285
Alameda County,3.042125883285922
Ventura County,2.6263520157325466
Los Angeles County,2.6
Contra Costa County,2.4832428552200634
San Bernardino County,2.384370015948963
Sonoma County,2.3125
Napa County,2.3005514705882355
San Diego County,2.2846153846153845
Orange County,2.22
Solano County,2.2043628013777266
Sutter County,2.125
Monterey County,2.0
Kern County,1.9134615384615385
San Joaquin County,1.8502994011976048
El Dorado County,1.751927119831815
Placer County,1.7085470085470085
Yolo County,1.6833333333333333
Riverside County,1.6709710743801653
Sacramento County,1.6584766584766584
Mendocino County,1.6159695817490494
Lake County,1.25
San Luis Obispo County,1.0344827586206897
